ARTICULO;NOMBRE
106071;Panel TEIDE 100x120cm
113051;Pilar Circular INDE-K Ø35x350cm
104111;"Chapa Pilar INDE-K 100x50cm ; Rojo"
106081;Panel TEIDE 100x100cm
106091;Panel TEIDE 100x80cm
109312;"Anclaje TC Vertical TEIDE Ø19mm ; Amarillo"
106101;Panel TEIDE 100x60cm
109292;"Alineador TEIDE U80 ; L=3,00m"
106111;Panel TEIDE 100x50cm
103102;PUNTAL 3M INDE-K ROJO
106121;Panel Esquina TEIDE 300x38x30cm
106131;Panel Esquina TEIDE 100x38x30cm
106141;"Barra Roscada TEIDE Ø15mm ; L=1,00m"
109222;"Sopanda Intermedia  VERSATEC PLUS ; L=2,00m ; Blanco"
106151;"Barra Roscada TEIDE Ø15mm ; L=1,20m"
106161;"Barra Roscada TEIDE Ø15mm ; L=1,50m"
106171;"Barra Roscada TEIDE Ø15mm ; L=2,00m"
106181;Placa Nervada TEIDE Ø15mm
106191;Tuerca Mariposa TEIDE Ø15mm
106201;Mordaza TEIDE
106211;Mordaza Extensible TEIDE
106221;"Gancho Elevación TEIDE ; CMU=1500 kg ; Rojo"
106231;CHAPA COMPENSACION 3M INDE-K
106241;Perfil Compensación TEIDE 300x5cm
106251;Consola de Trabajo TEIDE
106261;TUBO DISTANCIADOR PVC Ø22 : L=3,00M INDE-K
106271;Cono Distanciador TEIDE Ø22mm
106281;Tapón Distanciador TEIDE Ø22mm
106301;"Berenjeno INDE-K ; L=2,50m"
106311;LITRO DESENCOFRANTE INDE-K
103222;"Puntal 1m ; Ø48/40 e1.6/1.6mm ; Verde Oscuro"
103212;PUNTAL 5.25 M
103122;"Puntal 5m ; Ø48/40 e2/2mm ; Rojo"
103132;PUNTAL 3M INDE-K VERDE
103142;PUNTAL 4M INDE-K VERDE
103152;PUNTAL 5M INDE-K VERDE
103162;"Puntal INDE-K 1m ; Ø48/40 e1.6/1.6mm"
113052;Pilar Circular INDE-K Ø35x350cm
106022;Panel TEIDE 300x100cm
113102;Pilar Circular INDE-K Ø40x50cm
113061;Pilar Circular INDE-K Ø40x350cm
106032;Panel TEIDE 300x80cm
109343;"Placa Unión Puntal INDE-K Aluminio 150x150 mm ; Ø12 mm (Reparar)"
102201;"Tablero Tricapa VERSATEC 197x50cm ; Gris (1ª)"
106042;Panel TEIDE 300x60cm
106052;Panel TEIDE 300x50cm
110011;Portes
106062;Panel TEIDE 300x40cm
106072;Panel TEIDE 100x120cm
106082;Panel TEIDE 100x100cm
106092;Panel TEIDE 100x80cm
106102;Panel TEIDE 100x60cm
106112;Panel TEIDE 100x50cm
106122;Panel Esquina TEIDE 300x38x30cm
106132;Panel Esquina TEIDE 100x38x30cm
106142;"Barra Roscada TEIDE Ø15mm ; L=1,00m"
